s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,label
0.0470599,0.0467269,0.0459782,0.0441794,0.0417591,0.0410809,0.04001,0.0391694,0.038783,0.0378878,0.0380778,0.0386597,pucker
0.0452844,0.045386,0.0451212,0.0432697,0.0420339,0.041466,0.0398577,0.03903,0.0384092,0.0381248,0.0377206,0.0374552,pucker
0.0464182,0.0452541,0.0430005,0.0414856,0.0396137,0.0379968,0.0382639,0.0371199,0.0366647,0.0363184,0.0361314,0.0363322,pucker
0.0465254,0.0461251,0.0461099,0.0457931,0.0418958,0.0404341,0.0392614,0.0386256,0.0385234,0.0379863,0.0382506,0.037956,pucker
0.0509367,0.0505084,0.0488356,0.0479551,0.046194,0.0451756,0.0448391,0.0442909,0.0437121,0.0436281,0.0438219,0.0434234,pucker
0.0555478,0.0556793,0.0560581,0.0552204,0.05425,0.0522145,0.0498858,0.047647,0.0467297,0.0461097,0.0450063,0.0450504,pucker
0.0434902,0.041681,0.0410511,0.0394821,0.0386999,0.0383321,0.0380102,0.037512,0.0369951,0.0376197,0.0378305,0.0376958,pucker
0.045779,0.0445411,0.0418514,0.0411443,0.0405689,0.0392698,0.0383421,0.0377859,0.0381653,0.038129,0.0382408,0.038075,pucker
0.0482661,0.0464891,0.0442888,0.04218,0.0410995,0.0400858,0.0399596,0.0385946,0.0382246,0.0376834,0.0378732,0.0378932,pucker
0.0470842,0.0478431,0.0478139,0.0480367,0.0455467,0.0442432,0.0430124,0.0407934,0.040325,0.0405539,0.0408827,0.0409126,pucker
0.0457315,0.0456978,0.0449232,0.0447219,0.0445418,0.0443576,0.0439474,0.0439442,0.0443412,0.0442705,0.0446788,0.0445724,noPucker
0.0445681,0.044604,0.0440362,0.0440382,0.0438741,0.043856,0.043545,0.0435814,0.0432021,0.0427481,0.0428326,0.0442447,noPucker
0.0438248,0.0444455,0.044962,0.0450618,0.0448748,0.0443864,0.0441837,0.0439968,0.0437569,0.0441235,0.043871,0.0439784,noPucker
0.0361785,0.0365785,0.0360377,0.036094,0.0363616,0.0367392,0.0363919,0.035916,0.0359405,0.0362081,0.0360162,0.0359804,noPucker
0.0404872,0.0404533,0.0408031,0.0400927,0.0401808,0.0398872,0.0401464,0.040051,0.0396523,0.0392394,0.0384799,0.0383541,noPucker
