s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,label
0.0434333,0.043147,0.0440541,0.044815,0.0452643,0.0447599,0.0429059,0.0445211,0.0446274,0.0452313,0.0450536,0.0451967,noPucker
0.046329,0.0455497,0.0447455,0.0451111,0.0457985,0.0459896,0.0455053,0.0457201,0.0455485,0.0457353,0.0454242,0.044692,noPucker
0.0472151,0.0478537,0.0479035,0.0478644,0.0481632,0.0480069,0.0480434,0.0478009,0.0485498,0.0491645,0.0486567,0.0483584,noPucker
0.0463355,0.0471023,0.046632,0.0467869,0.0466986,0.0471684,0.0470345,0.0466909,0.0470299,0.0471006,0.0471387,0.0461388,noPucker
0.0441657,0.0446454,0.0445166,0.0452091,0.0454364,0.0457814,0.0454054,0.0457259,0.0447954,0.0449263,0.0446216,0.0451753,noPucker
0.0479358,0.0487031,0.0492121,0.0498122,0.0506164,0.0501331,0.0500133,0.0510775,0.0505117,0.0511591,0.0509035,0.0499522,noPucker
0.0463206,0.0464202,0.0460986,0.0460727,0.0458484,0.0457211,0.0456672,0.0457906,0.0458294,0.0457973,0.0460344,0.0462486,noPucker
0.0433397,0.0430158,0.0422133,0.0417124,0.0427745,0.0434869,0.0435455,0.0438586,0.0449014,0.044987,0.04483,0.0460918,noPucker
0.0451287,0.0454732,0.0460263,0.0455887,0.045129,0.0443867,0.0447431,0.0460247,0.0454734,0.0455878,0.045953,0.0466208,noPucker
0.0448858,0.0455519,0.0459856,0.0455415,0.0456822,0.0455913,0.0457503,0.0455792,0.0455749,0.0459206,0.0457201,0.045532,noPucker
0.0457251,0.0458164,0.0464815,0.0465075,0.0465476,0.0455283,0.0458813,0.0457555,0.0450166,0.0451232,0.0456809,0.0451401,noPucker
0.0464906,0.0460176,0.0461973,0.0459412,0.0457146,0.0462171,0.0470007,0.0459854,0.0467376,0.046522,0.0460543,0.0457948,noPucker
0.0478871,0.0474432,0.0475509,0.0460436,0.0471367,0.0476108,0.0476306,0.047554,0.0469919,0.0475839,0.0473289,0.0474871,noPucker
0.0452231,0.0460998,0.0463381,0.0456302,0.0459826,0.0456608,0.0449066,0.0443108,0.0444236,0.0435457,0.0438341,0.0438716,noPucker
0.043892,0.0440823,0.0444901,0.044212,0.0452291,0.0455027,0.0464742,0.0456078,0.0458599,0.0455877,0.0454451,0.0445165,noPucker
0.0423917,0.0423931,0.0424021,0.0426458,0.0425857,0.0434174,0.0438422,0.044594,0.0439983,0.0433211,0.0432464,0.044138,noPucker
0.0452846,0.0452156,0.0449055,0.0457834,0.0460245,0.0468598,0.046993,0.0471498,0.0474097,0.0465709,0.0467362,0.0466504,noPucker
0.0454171,0.0460948,0.045193,0.0456238,0.0449596,0.0441137,0.0443627,0.0442997,0.0438188,0.0437621,0.0434376,0.0447252,noPucker
0.0425642,0.0415005,0.0423901,0.0424398,0.0429295,0.0425515,0.0412441,0.0420491,0.0426979,0.0419941,0.0417095,0.0419528,noPucker
0.0498227,0.0499419,0.050283,0.0490679,0.0479781,0.0477765,0.0473692,0.0476912,0.0470419,0.0477153,0.0472129,0.0479477,noPucker
0.0449467,0.044771,0.044568,0.0446114,0.0455948,0.0449651,0.0451946,0.0440944,0.0448938,0.0445893,0.0442067,0.0439891,noPucker
0.0424687,0.0431418,0.0426039,0.0436587,0.0438417,0.0446478,0.0441671,0.0447533,0.0455305,0.0464888,0.0469623,0.0456716,noPucker
0.0554339,0.053743,0.0540835,0.0535804,0.0532107,0.0515108,0.0492075,0.0472114,0.0468004,0.0464287,0.0454873,0.0458345,pucker
0.0568811,0.0567034,0.056587,0.0564808,0.0564565,0.0532693,0.050069,0.0487149,0.0472338,0.0469426,0.045889,0.0461624,pucker
0.0576333,0.0564695,0.0555094,0.054761,0.0530659,0.0518843,0.0509205,0.0500237,0.0486725,0.0474511,0.0461737,0.0462257,pucker
0.0571354,0.0572529,0.0581347,0.056925,0.0555674,0.0545015,0.0545865,0.0517105,0.0500144,0.0494335,0.0484547,0.0488664,pucker
0.0562245,0.056139,0.0553427,0.0543134,0.0543113,0.0528849,0.0510327,0.0500872,0.0482499,0.0477389,0.0473613,0.0470864,pucker
0.0550297,0.0550716,0.0548485,0.0543313,0.0537454,0.0532609,0.0534941,0.0536892,0.0538616,0.0538949,0.0540231,0.0536212,noPucker
0.0472901,0.0478739,0.0468809,0.0463826,0.0462273,0.0466558,0.046454,0.0471512,0.048046,0.0482978,0.0471586,0.0473606,noPucker
0.0487028,0.0485423,0.0491823,0.0491347,0.0487318,0.0484646,0.0480961,0.0477896,0.0476654,0.0479812,0.0478057,0.0477694,noPucker
0.0476246,0.0484117,0.0480793,0.0481487,0.0485876,0.0483834,0.0480224,0.0483959,0.0483511,0.0484027,0.0485017,0.0485658,noPucker
0.0537905,0.0541681,0.0537164,0.053581,0.0536876,0.0534702,0.0530035,0.0523736,0.0525116,0.0526522,0.0526677,0.052233,noPucker
0.0505121,0.0507129,0.0502964,0.0498462,0.0499714,0.0504593,0.0502515,0.0501612,0.0506207,0.0507807,0.0507912,0.0508175,noPucker
0.0545662,0.0535731,0.0536303,0.0540164,0.053966,0.0544475,0.0545995,0.0556953,0.056605,0.0564395,0.0556793,0.0553682,noPucker
0.0575028,0.0569477,0.05731,0.0575702,0.0575078,0.057223,0.0556073,0.0555266,0.055927,0.0560088,0.0551957,0.0574776,noPucker
0.0425926,0.0428698,0.0423222,0.042359,0.0436023,0.0427635,0.0424956,0.0424606,0.0432087,0.0436353,0.0437617,0.0429214,noPucker
0.0479079,0.0477474,0.0485331,0.0477631,0.0478858,0.0473942,0.0477437,0.0482019,0.04688,0.0469869,0.0466181,0.0461738,noPucker
0.0471228,0.046709,0.0464038,0.0465317,0.0474249,0.0473629,0.0464857,0.0462315,0.0463311,0.0458417,0.045956,0.0466246,noPucker
0.0455163,0.0455483,0.0464341,0.0459316,0.0462812,0.0466566,0.0462749,0.0466332,0.0461512,0.0457872,0.0460182,0.0461389,noPucker
0.0468808,0.0464995,0.0471758,0.047129,0.0464874,0.0468512,0.046638,0.046021,0.0466565,0.0462907,0.046208,0.0465727,noPucker
0.0446127,0.0452577,0.0453108,0.044804,0.0447357,0.0451468,0.0450193,0.0449546,0.0444896,0.0440972,0.043855,0.0441741,noPucker
0.0432248,0.0430759,0.0427884,0.0420982,0.0421238,0.0420942,0.0421871,0.0429842,0.0429281,0.0426677,0.0425179,0.0422419,noPucker
0.0442613,0.0442275,0.0447794,0.0449664,0.044761,0.0445696,0.0442594,0.0442725,0.0443908,0.0439698,0.0440323,0.0438101,noPucker
0.0424519,0.0417263,0.0418662,0.0419464,0.042084,0.0419235,0.0421065,0.0418988,0.0422689,0.0425825,0.042189,0.0424257,noPucker
